"","ID","Pregunta 1
","Pregunta 2
","Pregunta 3","Pregunta 32","Pregunta 4","Pregunta 5","Pregunta 6","Pregunta 7","Pregunta 8","Pregunta 9","Pregunta 10","Pregunta 11","Pregunta 12","Barrio Comuna 1","Barrio Comuna 9","Pregunta 13
","Pregunta 14
","Pregunta 15
","Pregunta 16","Ingreso","Pregunta 17","Pregunta 18","Pregunta 19
","Pregunta 20
","Pregunta 21
","Pregunta 22
","Pregunta 23
","Pregunta 24
","Pregunta 25
","Pregunta 26
","Pregunta 27
","Pregunta 28","Pregunta 29
","Pregunta 30","Pregunta 32
","Pregunta 33
","Pregunta 34
","Pregunta 35
","Pregunta 36
","Pregunta 37
","Pregunta 38","Pregunta 39","Pregunta 40","Pregunta 41
","Alcohol","Cafeína","Pregunta 43
","Pregunta 44
","Pregunta 45
","Pregunta 46
","Pregunta 47
","Pregunta 48
","Horario","Escenarios o espacios deportivos","Pregunta 50
","Hongos","Metanfetamina","Implementos","Nicotina","Ayahuasca","Cocaína","Participación comunitaria","Marihuana","Esteroides","Heroína","Capacitación sobre deporte, recreación o salud","Pregunta 51","Popper","Ampliación de oferta","Opiodes","Formador o profesor","Extasis","LSD","Tussi","Otras","Pregunta 52","Pregunta 53","Pregunta 54","IMC"
"1",58,"Acudiente","De 29 a 59",NA,"Mujer","No deseo responder","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Blanco","Primaria","Ama de casa / hombre de casa","3","3","Medellín","9-Buenos Aires ",NA,NA,"1","7;","8;","NO",NA,"SI","Social;","SI","Por cuenta propia","Una vez","4;","3;","NO","Solo","9;",NA,NA,"2","3","SI","NO","SI","Después;","Agua;","SI","Delgado",41,145,"5","Diario","No consume","SI","SI",NA,"4","4;","2;","5","5","Buena","No consume","No consume","5","No consume","No consume","No consume","5","No consume","No consume","No consume","5","SI","No consume","5","No consume","5","No consume","No consume","No consume","No consume","SI","SI","NO SÉ",19.5
"2",68,"Usuario","De 29 a 59",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Ninguna","Tecnológico","Empleado (a)","Ninguno (a)","2","Medellín","9-Buenos Aires ",NA,NA,"2","13;","8;","NO",NA,"SI","Físico;","SI","Ambas","Tres o más","2;","4;","NO","Con amigos","9;",NA,NA,"2","3","NO","NO","SI","Durante;Antes;Después;","Agua;","NO","Delgado",47,160,"8","No consume","Mensual","SI","SI",NA,"6","4;","5;","5","5","Excelente","No consume","No consume","3","No consume","No consume","No consume","3","No consume","No consume","No consume","5","SI","No consume","3","No consume","3","No consume","No consume","No consume","No consume","SI","SI","SI",18.36
"3",78,"Formador","De 29 a 59",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Mestizo","Pregrado","Empleado (a)","2","3","Medellín","9-Buenos Aires ",NA,NA,"3","13;","8;","NO",NA,"SI","Físico;","SI","Por cuenta propia","Tres o más","4;","1;","NO","Solo","9;",NA,NA,"2","4 o más","SI","SI","SI","Después;","Agua;","NO","Normal",61,170,"8","No consume","No consume","SI","SI",NA,"6","4;","5;","5","5","Excelente","No consume","No consume","4","No consume","No consume","No consume","5","No consume","No consume","No consume","4","SI","No consume","5","No consume","5","No consume","No consume","No consume","No consume","SI","SI","SI",21.11
"4",91,"Formador","De 29 a 59",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Casado(a) ","Mestizo","Secundaria","Empleado (a)","2","2","Medellín","9-Buenos Aires ",NA,NA,"3","1;","8;","NO",NA,"SI","Físico;","SI","Ambas","Tres o más","3;4;8;","1;4;8;","SI","Solo","13;",NA,NA,"2","3","SI","NO","SI","Durante;","Agua;","SI","Normal",66,163,"5","Semanal","Diario","SI","SI",NA,"4","8;","1;","5","5","Por mejorar","No consume","No consume","1","No consume","No consume","No consume","5","No consume","No consume","No consume","5","NO","No consume","1","No consume","5","No consume","No consume","No consume","No consume","NO SÉ","SI","SI",24.84
"5",93,"Formador","De 29 a 59",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Afrodescendiente, Mulato o Negro","Pregrado","Empleado (a)","2","3","Medellín","9-Buenos Aires ",NA,NA,"3","13;","8;","NO",NA,"SI","Social;","SI","Dirigida","Tres o más","4;","1;4;","SI","Solo","9;12;",NA,NA,"2","3","NO","NO","SI","Durante;Después;","Agua;","NO","Con sobrepeso",65,159,"6","Mensual","Diario","SI","SI",NA,"7","4;","5;","4","4","Buena","No consume","No consume","4","No consume","No consume","No consume","4","No consume","No consume","No consume","4","SI","No consume","4","No consume","4","No consume","No consume","No consume","No consume","SI","SI","SI",25.71
"6",107,"Usuario","De 18 a 28",NA,"Hombre","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Mestizo","Secundaria","Desempleado (a)","Ninguno (a)","3","Medellín","9-Buenos Aires ",NA,NA,"2","12;","3;","NO",NA,"SI","Físico;Social;Emocional;","SI","Ambas","Tres o más","4;7;","4;10;","NO","Solo","9;",NA,NA,"2","4 o más","NO","NO","SI","Antes;Durante;Después;","Agua;","NO","Normal",72,179,"8","No consume","No consume","SI","SI",NA,"4","4;","5;","5","4","Buena","No consume","No consume","4","No consume","No consume","No consume","4","No consume","No consume","No consume","3","NO","No consume","3","No consume","5","No consume","No consume","No consume","No consume","SI","NO","NO SÉ",22.47
"7",136,"Usuario","De 18 a 28",NA,"Mujer","No deseo responder","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Ninguna","Pregrado","Otra","Ninguno (a)","1","Medellín","9-Buenos Aires ",NA,NA,"3","3;12;","8;","NO",NA,"SI","Emocional;Físico;Social;","SI","Ambas","Tres o más","2;3;4;","1;8;9;","NO","Solo","13;",NA,NA,"5","3","SI","NO","SI","Durante;Después;Antes;","Agua;","NO","Normal",58,154,"7","Mensual","Mensual","SI","NO","No conozco la oferta","10","4;8;","3;5;","3","4","Buena","No consume","No consume","3","No consume","No consume","No consume","3","No consume","No consume","No consume","2","NO","No consume","3","No consume","4","No consume","No consume","No consume","No consume","NO SÉ","NO","NO SÉ",24.46
"8",139,"Usuario","De 18 a 28",NA,"Mujer","No deseo responder","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Ninguna","Pregrado","Otra","Ninguno (a)","1","Medellín","9-Buenos Aires ",NA,NA,"3","3;","8;","NO",NA,"No es usuario del INDER Medellín",NA,"SI","Ambas","Tres o más","1;2;4;","1;2;8;","NO","Solo","17;",NA,NA,"2","4 o más","SI","NO","SI","Durante;Después;","Agua;","NO","Normal",58,154,"7","No consume","Mensual","SI","NO","No conozco la oferta","10","3;4;7;","3;5;6;","3","3","Buena","No consume","No consume","2","No consume","No consume","No consume","2","No consume","No consume","No consume","2","NO","No consume","2","No consume","3","No consume","No consume","No consume","No consume","NO SÉ","NO","NO SÉ",24.46
"9",158,"Usuario del INDER","De 6 a 12","Mujer",NA,NA,NA,"Afrodescendiente, Mulato o Negro","Secundaria","Estudiante","Ninguno (a)","3","Medellín","9-Buenos Aires ",NA,NA,"3","13;","8;","NO",NA,"SI","Físico;","SI","Dirigida","Tres o más","1;4;6;","6;7;9;","SI","Con amigos","2;4;9;",NA,NA,"9","4 o más","SI","SI","SI","Después;","Agua;","SI","Normal",35,145,"5","No consume","No consume","SI","SI",NA,"6","1;2;4;","1;3;","5","5","Buena","No consume","No consume","5","No consume","No consume","No consume","5","No consume","No consume","No consume","5","SI","No consume","5","No consume","5","No consume","No consume","No consume","No consume","SI","SI","SI",16.65
"10",173,"Acudiente","De 60 o más",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Mestizo","Sin estudio","Ama de casa / hombre de casa","3","3","Medellín","9-Buenos Aires ",NA,NA,"1","5;","8;","SI",NA,"SI","Emocional;Físico;Social;","SI","Dirigida","Dos veces","4;","4;","NO","Con amigos","9;",NA,NA,"7","2","NO","SI","SI","Antes;Durante;Después;","Agua;","NO","Con sobrepeso",69,165,"8","No consume","No consume","SI","SI",NA,"5","4;",NA,"5","5","Excelente","No consume","No consume","5","No consume","No consume","No consume","5","No consume","No consume","No consume","5","NO","No consume","5","No consume","5","No consume","No consume","No consume","No consume","NO","NO","NO",25.34
