"","Lácteos y derivados ","Carnes (res, cerdo, pollo, pescado) ","Cereales (arroz, pasta, avena, quinoa) ","Productos cárnicos (chorizos, salchichas, jamón, morcilla, etc). ","Aceites y grasas (aceite de canola, aceite de oliva, aceite de ajonjolí, aceite de aguacate, aguacate, aceitunas) ","Leguminosas (frijol, garbanzo, lenteja, etc) ","Raíces, tubérculos y plátanos (Arracacha, batata, ñame, yuca, papa) ","Frutas (Banano, borojo, chontaduro, manzana, mango)","Verduras","Comidas rápidas(perro, pizza, hamburguesa,etc) ","Snacks o productos de paquete ","Dulces, postres y golosinas","Gaseosas"
"1","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario","Diario","Diario","Mensual","No consume","No consume","No consume"
"2","Diario","Diario","Mensual","Mensual","Mensual","Mensual","Mensual","Diario","Diario","Mensual","Mensual","Mensual","Mensual"
"3","Semanal","Quincenal","Diario","Quincenal","Diario","Semanal","Semanal","Semanal","Semanal","No consume","Mensual","Mensual","Mensual"
"4","Diario","Semanal","Diario","Semanal","Semanal","Quincenal","Diario","Diario","Diario","Quincenal","Semanal","Semanal","Mensual"
"5","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Diario","Diario","Quincenal","Quincenal","Semanal","Semanal"
"6","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Semanal","Diario","Diario","Semanal"
"7","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","No consume","No consume","No consume","No consume"
"8","Diario","Diario","Semanal","Semanal","Diario","Diario","Diario","Diario","Diario","Quincenal","Semanal","Quincenal","No consume"
"9","Diario","Semanal","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Mensual","Semanal","Semanal","Semanal"
"10","Diario","Diario","Diario","Semanal","Diario","Semanal","Mensual","Diario","Diario","Mensual","Mensual","Semanal","Semanal"
"11","Diario","Diario","Diario","Semanal","No consume","Semanal","Semanal","Diario","Diario","Quincenal","Semanal","Semanal","Mensual"
"12","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Semanal","Diario","Semanal","Diario","Semanal","Semanal"
"13","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Quincenal","Semanal","Semanal","Semanal"
"14","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Diario","Diario","Quincenal","Semanal","Quincenal","Quincenal"
"15","Semanal","Semanal","Diario","Quincenal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Diario","Quincenal"
"16","Diario","Diario","Diario","Diario","Diario","Diario","Mensual","Diario","Diario","Mensual","Quincenal","Mensual","Mensual"
"17","Diario","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Diario","Semanal","Semanal","Semanal","No consume"
"18","Quincenal","Quincenal","Diario","Quincenal","Diario","Diario","Semanal","Mensual","Semanal","No consume","No consume","No consume","No consume"
"19","Diario","Diario","Diario","Quincenal","Diario","Semanal","Semanal","Diario","Semanal","Quincenal","Mensual","Mensual","Mensual"
"20","Diario","Diario","Semanal","Mensual","Diario","Semanal","Semanal","No consume","Semanal","Mensual","Mensual","Mensual","No consume"
"21","Semanal","Diario","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario","Mensual","Mensual","Mensual","Mensual"
"22","Diario","Diario","Diario","Quincenal","Diario","Semanal","Mensual","Diario","Semanal","Mensual","No consume","Mensual","No consume"
"23","Diario","Semanal","Semanal","Semanal","Diario","Semanal","Semanal","Diario","Diario","Mensual","Semanal","Mensual","No consume"
"24","Semanal","Diario","Semanal","No consume","Semanal","Semanal","Quincenal","Diario","Diario","No consume","Mensual","No consume","No consume"
"25","Quincenal","Quincenal","Diario","No consume","Diario","Quincenal","Quincenal","No consume","Quincenal","Mensual","Quincenal","Semanal","Semanal"
