"","Lácteos y derivados ","Carnes (res, cerdo, pollo, pescado) ","Cereales (arroz, pasta, avena, quinoa) ","Productos cárnicos (chorizos, salchichas, jamón, morcilla, etc). ","Aceites y grasas (aceite de canola, aceite de oliva, aceite de ajonjolí, aceite de aguacate, aguacate, aceitunas) ","Leguminosas (frijol, garbanzo, lenteja, etc) ","Raíces, tubérculos y plátanos (Arracacha, batata, ñame, yuca, papa) ","Frutas (Banano, borojo, chontaduro, manzana, mango)","Verduras","Comidas rápidas(perro, pizza, hamburguesa,etc) ","Snacks o productos de paquete ","Dulces, postres y golosinas","Gaseosas"
"1","Quincenal","Quincenal","Diario","Quincenal","Diario","Semanal","Quincenal","No consume","Diario","No consume","No consume","No consume","No consume"
"2","Diario","Diario","Semanal","Semanal","Diario","Diario","Diario","Semanal","Diario","Quincenal","Quincenal","Semanal","Mensual"
"3","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Diario","Diario","Quincenal","Semanal","Semanal","Quincenal"
"4","Diario","Diario","Diario","Mensual","No consume","Mensual","Mensual","Diario","Quincenal","Semanal","Semanal","Semanal","No consume"
"5","Mensual","Diario","Semanal","Mensual","Mensual","Mensual","Semanal","Semanal","Semanal","Mensual","Mensual","Mensual","No consume"
"6","Semanal","Diario","Diario","No consume","No consume","Diario","Diario","Diario","Diario","Mensual","No consume","Mensual","No consume"
"7","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Semanal","Semanal","Semanal","Mensual"
"8","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Mensual"
"9","Diario","Diario","Diario","Mensual","Mensual","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario"
"10","Diario","Quincenal","Diario","No consume","Diario","Diario","Diario","Diario","Diario","No consume","Semanal","Diario","No consume"
"11","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Semanal","Diario","Diario","Diario"
"12","Diario","Semanal","Diario","Quincenal","Semanal","Semanal","No consume","Diario","Diario","Quincenal","Semanal","Semanal","Diario"
"13","Diario","Semanal","Diario","Semanal","No consume","Semanal","No consume","Diario","Diario","Semanal","Quincenal","Quincenal","No consume"
"14","Quincenal","Diario","Diario","Semanal","Semanal","Semanal","Diario","Diario","Diario","Mensual","No consume","No consume","Mensual"
"15","Semanal","Diario","Semanal","Semanal","No consume","Semanal","No consume","Diario","Diario","Mensual","No consume","Semanal","No consume"
"16","Semanal","Semanal","Diario","Diario","Diario","Semanal","Diario","Quincenal","Quincenal","Semanal","No consume","No consume","No consume"
"17","Diario","Diario","Diario","Mensual","No consume","Diario","No consume","Diario","Diario","Mensual","Mensual","No consume","No consume"
"18","Semanal","Semanal","Diario","Quincenal","Mensual","Semanal","Semanal","Semanal","Diario","Mensual","Quincenal","Mensual","No consume"
"19","Semanal","Diario","Diario","No consume","Semanal","Semanal","Diario","Diario","Diario","No consume","No consume","Semanal","No consume"
"20","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","Diario","No consume","No consume","No consume","No consume"
"21","Mensual","Semanal","Diario","Mensual","Quincenal","Semanal","Semanal","Quincenal","Semanal","Semanal","Quincenal","Mensual","Semanal"
"22","Diario","Semanal","Diario","Diario","No consume","Diario","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal"
"23","Diario","Diario","Diario","Semanal","Semanal","Semanal","Diario","Diario","Diario","Semanal","Semanal","Diario","Semanal"
"24","Semanal","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Quincenal","Quincenal","Quincenal","Mensual"
"25","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Diario","Diario","Quincenal","Diario","Semanal","Semanal"
"26","Diario","Semanal","Diario","Mensual","No consume","Mensual","Diario","Mensual","No consume","Quincenal","Semanal","Mensual","Semanal"
"27","Diario","Diario","Semanal","Diario","Diario","Semanal","Diario","Diario","Diario","Quincenal","Diario","Quincenal","No consume"
"28","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Quincenal","Quincenal","Semanal","Semanal","Quincenal","No consume"
